# x	y	u	v	flags	mask
8.9101e+00	6.7758e+00	-2.5644e-03	-6.1980e-03	0.0000e+00	0.0000e+00
9.1276e+00	6.7758e+00	-1.3072e-02	-2.5303e-03	0.0000e+00	0.0000e+00
9.3452e+00	6.7758e+00	1.0344e-02	-7.0569e-03	0.0000e+00	0.0000e+00
9.5628e+00	6.7758e+00	-1.5574e-03	-1.0727e-02	0.0000e+00	0.0000e+00
9.7804e+00	6.7758e+00	-5.9874e-03	1.7421e-02	0.0000e+00	0.0000e+00
9.9979e+00	6.7758e+00	-3.3847e-03	3.3310e-03	0.0000e+00	0.0000e+00
1.0215e+01	6.7758e+00	-5.0460e-03	7.5795e-03	0.0000e+00	0.0000e+00
1.0433e+01	6.7758e+00	0.0000e+00	9.1591e-03	0.0000e+00	0.0000e+00
1.0651e+01	6.7758e+00	3.6587e-03	3.4990e-03	0.0000e+00	0.0000e+00
1.0868e+01	6.7758e+00	4.1227e-03	5.4254e-03	0.0000e+00	0.0000e+00
1.1086e+01	6.7758e+00	1.1178e-02	-4.0035e-03	0.0000e+00	0.0000e+00
1.1303e+01	6.7758e+00	-1.7974e-03	-9.3124e-03	0.0000e+00	0.0000e+00
1.1521e+01	6.7758e+00	-3.3004e-03	-4.2307e-03	0.0000e+00	0.0000e+00
1.1738e+01	6.7758e+00	3.6811e-04	-7.5564e-03	0.0000e+00	0.0000e+00
1.1956e+01	6.7758e+00	-3.2858e-02	-3.0613e-02	0.0000e+00	0.0000e+00
1.2174e+01	6.7758e+00	-4.6841e-03	2.9745e-03	0.0000e+00	0.0000e+00
1.2391e+01	6.7758e+00	0.0000e+00	-0.0000e+00	0.0000e+00	0.0000e+00
1.2609e+01	6.7758e+00	-2.6584e-03	-9.6032e-03	0.0000e+00	0.0000e+00
1.2826e+01	6.7758e+00	5.7133e-03	-6.0938e-03	0.0000e+00	0.0000e+00
1.3044e+01	6.7758e+00	4.0057e-03	-4.2224e-03	0.0000e+00	0.0000e+00
2.0721e-01	6.5582e+00	-2.0881e-03	9.7464e-03	0.0000e+00	0.0000e+00
4.2478e-01	6.5582e+00	7.2567e-04	-1.4736e-03	0.0000e+00	0.0000e+00
6.4235e-01	6.5582e+00	-3.6359e-03	2.0507e-03	0.0000e+00	0.0000e+00
8.5993e-01	6.5582e+00	4.1564e-03	8.3305e-03	0.0000e+00	0.0000e+00
1.0775e+00	6.5582e+00	-4.1219e-04	2.3452e-03	0.0000e+00	0.0000e+00
1.2951e+00	6.5582e+00	3.2710e-03	-1.9790e-03	0.0000e+00	0.0000e+00
1.5126e+00	6.5582e+00	-1.0052e-02	2.0455e-03	0.0000e+00	0.0000e+00
1.7302e+00	6.5582e+00	-5.0734e-03	5.3814e-03	0.0000e+00	0.0000e+00
1.9478e+00	6.5582e+00	-1.3798e-02	1.2403e-06	0.0000e+00	0.0000e+00
2.1654e+00	6.5582e+00	2.7807e-04	-8.9942e-04	0.0000e+00	0.0000e+00
2.3829e+00	6.5582e+00	-4.4417e-03	3.9389e-04	0.0000e+00	0.0000e+00
2.6005e+00	6.5582e+00	-8.8212e-04	-6.5033e-07	0.0000e+00	0.0000e+00
2.8181e+00	6.5582e+00	1.1872e-02	-1.3606e-03	0.0000e+00	0.0000e+00
3.0356e+00	6.5582e+00	-3.3638e-04	-1.0399e-03	0.0000e+00	0.0000e+00
3.2532e+00	6.5582e+00	-7.0211e-03	-7.7741e-04	0.0000e+00	0.0000e+00
3.4708e+00	6.5582e+00	-6.6200e-03	-1.3073e-02	0.0000e+00	0.0000e+00
3.6884e+00	6.5582e+00	-8.6740e-03	-1.8411e-02	0.0000e+00	0.0000e+00
3.9059e+00	6.5582e+00	-2.4296e-02	-3.7032e-06	0.0000e+00	0.0000e+00
4.1235e+00	6.5582e+00	-1.5678e-03	-2.9564e-03	0.0000e+00	0.0000e+00
4.3411e+00	6.5582e+00	5.7885e-03	1.3087e-02	0.0000e+00	0.0000e+00
4.5586e+00	6.5582e+00	-3.0324e-03	4.4563e-03	0.0000e+00	0.0000e+00
4.7762e+00	6.5582e+00	4.9302e-03	-1.1748e-03	0.0000e+00	0.0000e+00
4.9938e+00	6.5582e+00	3.0700e-03	-1.9564e-02	0.0000e+00	0.0000e+00
5.2114e+00	6.5582e+00	1.6352e-02	6.0397e-03	0.0000e+00	0.0000e+00
5.4289e+00	6.5582e+00	6.3968e-03	2.1426e-03	0.0000e+00	0.0000e+00
5.6465e+00	6.5582e+00	1.1353e-03	5.7000e-04	0.0000e+00	0.0000e+00
5.8641e+00	6.5582e+00	-8.7529e-03	-5.0582e-05	0.0000e+00	0.0000e+00
6.0816e+00	6.5582e+00	3.7368e-03	-7.6132e-03	0.0000e+00	0.0000e+00
6.2992e+00	6.5582e+00	5.6248e-03	-1.1456e-03	0.0000e+00	0.0000e+00
6.5168e+00	6.5582e+00	-1.2259e-03	-4.6440e-03	0.0000e+00	0.0000e+00
6.7344e+00	6.5582e+00	1.3413e-03	9.5354e-03	0.0000e+00	0.0000e+00
6.9519e+00	6.5582e+00	6.4077e-03	9.8370e-04	0.0000e+00	0.0000e+00
7.1695e+00	6.5582e+00	-2.7265e-03	-5.5912e-03	0.0000e+00	0.0000e+00
7.3871e+00	6.5582e+00	1.1729e-03	-1.6551e-02	0.0000e+00	0.0000e+00
7.6046e+00	6.5582e+00	4.2159e-03	-4.9435e-06	0.0000e+00	0.0000e+00
7.8222e+00	6.5582e+00	3.8310e-03	-1.1415e-03	0.0000e+00	0.0000e+00
8.0398e+00	6.5582e+00	5.7195e-05	6.8150e-03	0.0000e+00	0.0000e+00
8.2574e+00	6.5582e+00	2.0419e-10	8.8558e-03	0.0000e+00	0.0000e+00
8.4749e+00	6.5582e+00	7.5483e-03	1.1084e-02	0.0000e+00	0.0000e+00
8.6925e+00	6.5582e+00	-2.2178e-03	4.4344e-03	0.0000e+00	0.0000e+00
8.9101e+00	6.5582e+00	4.0951e-03	-5.3370e-05	0.0000e+00	0.0000e+00
9.1276e+00	6.5582e+00	4.9677e-07	-1.8287e-02	0.0000e+00	0.0000e+00
9.3452e+00	6.5582e+00	1.7363e-03	2.2005e-03	0.0000e+00	0.0000e+00
9.5628e+00	6.5582e+00	4.1134e-05	-4.1803e-02	0.0000e+00	0.0000e+00
9.7804e+00	6.5582e+00	5.0815e-04	-6.0064e-04	0.0000e+00	0.0000e+00
9.9979e+00	6.5582e+00	1.9231e-03	-3.2896e-03	0.0000e+00	0.0000e+00
1.0215e+01	6.5582e+00	-2.0138e-02	-1.1845e-02	0.0000e+00	0.0000e+00
1.0433e+01	6.5582e+00	1.9342e-03	1.3919e-02	0.0000e+00	0.0000e+00
1.0651e+01	6.5582e+00	-6.6543e-03	9.9080e-03	0.0000e+00	0.0000e+00
1.0868e+01	6.5582e+00	-1.2883e-03	-6.5676e-03	0.0000e+00	0.0000e+00
1.1086e+01	6.5582e+00	-3.5502e-03	-2.2217e-03	0.0000e+00	0.0000e+00
1.1303e+01	6.5582e+00	-6.0657e-03	7.0473e-03	0.0000e+00	0.0000e+00
1.1521e+01	6.5582e+00	-1.8129e-02	5.1690e-03	0.0000e+00	0.0000e+00
1.1738e+01	6.5582e+00	-7.3513e-03	-2.8106e-03	0.0000e+00	0.0000e+00
1.1956e+01	6.5582e+00	-2.3583e-02	-2.6421e-02	0.0000e+00	0.0000e+00
1.2174e+01	6.5582e+00	1.0655e-03	-0.0000e+00	0.0000e+00	0.0000e+00
1.2391e+01	6.5582e+00	2.7822e-03	-0.0000e+00	0.0000e+00	0.0000e+00
1.2609e+01	6.5582e+00	-2.9691e-03	2.7001e-03	0.0000e+00	0.0000e+00
1.2826e+01	6.5582e+00	9.6048e-03	2.5040e-05	0.0000e+00	0.0000e+00
1.3044e+01	6.5582e+00	2.5468e-03	-1.9129e-03	0.0000e+00	0.0000e+00
2.0721e-01	6.3407e+00	3.0113e-02	2.7418e-03	0.0000e+00	0.0000e+00
4.2478e-01	6.3407e+00	3.1229e-03	-2.6063e-03	0.0000e+00	0.0000e+00
6.4235e-01	6.3407e+00	-1.1010e-03	-8.1686e-05	0.0000e+00	0.0000e+00
8.5993e-01	6.3407e+00	-3.1588e-03	4.0149e-03	0.0000e+00	0.0000e+00
1.0775e+00	6.3407e+00	8.8818e-04	8.7150e-03	0.0000e+00	0.0000e+00
1.2951e+00	6.3407e+00	1.3586e-03	5.1955e-03	0.0000e+00	0.0000e+00
1.5126e+00	6.3407e+00	1.4400e-03	-6.8318e-03	0.0000e+00	0.0000e+00
1.7302e+00	6.3407e+00	1.7524e-03	5.7832e-03	0.0000e+00	0.0000e+00
1.9478e+00	6.3407e+00	1.2135e-02	3.2693e-02	0.0000e+00	0.0000e+00
2.1654e+00	6.3407e+00	4.6580e-04	1.2418e-02	0.0000e+00	0.0000e+00
