# x	y	u	v	flags	mask
2.1654e+00	6.3407e+00	2.6602e-02	1.1806e-02	1.0000e+00	0.0000e+00
2.3829e+00	6.3407e+00	2.8198e-02	1.4181e-02	1.0000e+00	0.0000e+00
2.6005e+00	6.3407e+00	2.9715e-02	1.6213e-02	1.0000e+00	0.0000e+00
2.8181e+00	6.3407e+00	3.0966e-02	1.7812e-02	1.0000e+00	0.0000e+00
3.0356e+00	6.3407e+00	3.1767e-02	1.8922e-02	1.0000e+00	0.0000e+00
3.2532e+00	6.3407e+00	3.1954e-02	1.9519e-02	1.0000e+00	0.0000e+00
3.4708e+00	6.3407e+00	3.1410e-02	1.9617e-02	1.0000e+00	0.0000e+00
3.6884e+00	6.3407e+00	3.0083e-02	1.9266e-02	1.0000e+00	0.0000e+00
3.9059e+00	6.3407e+00	2.8008e-02	1.8541e-02	1.0000e+00	0.0000e+00
4.1235e+00	6.3407e+00	2.5294e-02	1.7540e-02	1.0000e+00	0.0000e+00
4.3411e+00	6.3407e+00	2.2108e-02	1.6371e-02	1.0000e+00	0.0000e+00
4.5586e+00	6.3407e+00	1.8651e-02	1.5140e-02	1.0000e+00	0.0000e+00
4.7762e+00	6.3407e+00	1.5137e-02	1.3937e-02	1.0000e+00	0.0000e+00
4.9938e+00	6.3407e+00	1.1768e-02	1.2830e-02	1.0000e+00	0.0000e+00
5.2114e+00	6.3407e+00	8.7090e-03	1.1861e-02	1.0000e+00	0.0000e+00
5.4289e+00	6.3407e+00	6.0695e-03	1.1047e-02	1.0000e+00	0.0000e+00
5.6465e+00	6.3407e+00	3.8991e-03	1.0380e-02	1.0000e+00	0.0000e+00
5.8641e+00	6.3407e+00	2.1986e-03	9.8314e-03	1.0000e+00	0.0000e+00
6.0816e+00	6.3407e+00	9.3141e-04	9.3643e-03	1.0000e+00	0.0000e+00
6.2992e+00	6.3407e+00	3.5943e-05	8.9374e-03	1.0000e+00	0.0000e+00
6.5168e+00	6.3407e+00	-5.6252e-04	8.5143e-03	1.0000e+00	0.0000e+00
6.7344e+00	6.3407e+00	-9.3750e-04	8.0674e-03	1.0000e+00	0.0000e+00
6.9519e+00	6.3407e+00	-1.1510e-03	7.5805e-03	1.0000e+00	0.0000e+00
7.1695e+00	6.3407e+00	-1.2496e-03	7.0507e-03	1.0000e+00	0.0000e+00
7.3871e+00	6.3407e+00	-1.2682e-03	6.4879e-03	1.0000e+00	0.0000e+00
7.6046e+00	6.3407e+00	-1.2337e-03	5.9124e-03	1.0000e+00	0.0000e+00
7.8222e+00	6.3407e+00	-1.1681e-03	5.3511e-03	1.0000e+00	0.0000e+00
8.0398e+00	6.3407e+00	-1.0908e-03	4.8330e-03	1.0000e+00	0.0000e+00
8.2574e+00	6.3407e+00	-1.0206e-03	4.3854e-03	1.0000e+00	0.0000e+00
8.4749e+00	6.3407e+00	-9.7665e-04	4.0305e-03	1.0000e+00	0.0000e+00
8.6925e+00	6.3407e+00	-9.7738e-04	3.7832e-03	1.0000e+00	0.0000e+00
8.9101e+00	6.3407e+00	-1.0373e-03	3.6491e-03	1.0000e+00	0.0000e+00
9.1276e+00	6.3407e+00	-1.1639e-03	3.6243e-03	1.0000e+00	0.0000e+00
9.3452e+00	6.3407e+00	-1.3568e-03	3.6960e-03	1.0000e+00	0.0000e+00
9.5628e+00	6.3407e+00	-1.6080e-03	3.8454e-03	1.0000e+00	0.0000e+00
9.7804e+00	6.3407e+00	-1.9035e-03	4.0510e-03	1.0000e+00	0.0000e+00
9.9979e+00	6.3407e+00	-2.2253e-03	4.2913e-03	1.0000e+00	0.0000e+00
